time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1667255184691715300,24.01771533203125,0.791224479675293,0.07682235538959503,0.2331194430589676,0.5601048469543457,-0.3111463487148285,-0.39272797107696533,-1.9719605445861816
1667255184696674000,24.022674072265627,0.7895656824111938,0.06983737647533417,0.23886919021606445,0.5609369874000549,-0.32873407006263733,-0.38791972398757935,-1.9713371992111206
1667255184701632500,24.027632568359376,0.788132905960083,0.062359537929296494,0.24420447647571564,0.5615353584289551,-0.34619906544685364,-0.38175973296165466,-1.971023678779602
1667255184706591000,24.032591064453126,0.78675377368927,0.05449466407299042,0.2495071291923523,0.5619564056396484,-0.3640751540660858,-0.374891996383667,-1.9709111452102661
1667255184711549700,24.0375498046875,0.7851759195327759,0.04627734422683716,0.2551351487636566,0.5623728632926941,-0.3828847110271454,-0.36787551641464233,-1.9705945253372192
1667255184716508200,24.042508056640624,0.7832897305488586,0.037716567516326904,0.2612368166446686,0.56284099817276,-0.4028627276420593,-0.36094188690185547,-1.969924807548523
1667255184721466600,24.047466552734374,0.7809099555015564,0.02865954488515854,0.26787686347961426,0.5635603666305542,-0.424209326505661,-0.35404056310653687,-1.968355655670166
1667255184726425300,24.05242529296875,0.7780008316040039,0.01913340948522091,0.2749650180339813,0.5645731687545776,-0.4467286169528961,-0.34717994928359985,-1.965719223022461
1667255184731383800,24.0573837890625,0.7744860649108887,0.009115724824368954,0.2823760509490967,0.5659964680671692,-0.4701879918575287,-0.340297669172287,-1.9616488218307495
1667255184736342500,24.062342529296874,0.7704453468322754,-0.0012862400617450476,0.289945513010025,0.5677533745765686,-0.4942305386066437,-0.33339518308639526,-1.9562865495681763
1667255184741301000,24.067301025390623,0.7660012245178223,-0.01190410740673542,0.29746347665786743,0.5697507262229919,-0.5183559656143188,-0.32649263739585876,-1.9498403072357178
1667255184746259500,24.072259521484376,0.7612700462341309,-0.022607022896409035,0.3048182427883148,0.5718764662742615,-0.5422848463058472,-0.3196313977241516,-1.9425960779190063
1667255184751218200,24.07721826171875,0.7562602162361145,-0.03333883732557297,0.3119949698448181,0.5741237998008728,-0.5659483075141907,-0.3129028379917145,-1.9345853328704834
1667255184756176600,24.0821767578125,0.7510280013084412,-0.044070981442928314,0.319099098443985,0.5763596296310425,-0.5895689129829407,-0.3064066469669342,-1.9261696338653564
1667255184761135000,24.087135009765625,0.7455336451530457,-0.05485908314585686,0.3262943923473358,0.5785344243049622,-0.6135313510894775,-0.30023688077926636,-1.9174753427505493
1667255184766093800,24.09209375,0.7398201823234558,-0.06567241251468658,0.3336867392063141,0.5805225372314453,-0.6380458474159241,-0.29449203610420227,-1.9088362455368042
1667255184771052300,24.09705224609375,0.733823835849762,-0.07660245895385742,0.3413061499595642,0.5823613405227661,-0.663262128829956,-0.2891124188899994,-1.9001129865646362
1667255184776010800,24.1020107421875,0.7275596857070923,-0.0876685306429863,0.34904444217681885,0.584071159362793,-0.6890085339546204,-0.28396645188331604,-1.8912149667739868
1667255184780969500,24.106969482421874,0.7210281491279602,-0.09885753691196442,0.3566954433917999,0.5857592821121216,-0.7148736715316772,-0.27891963720321655,-1.8818421363830566
1667255184785928000,24.111927978515624,0.7143370509147644,-0.11006782948970795,0.3640221655368805,0.5874482989311218,-0.74031662940979,-0.2738472521305084,-1.8719607591629028
1667255184790886400,24.116886474609377,0.7075146436691284,-0.12125729769468307,0.37082746624946594,0.5892424583435059,-0.7649083137512207,-0.26865190267562866,-1.8613213300704956
1667255184795845000,24.12184521484375,0.7006468176841736,-0.13239064812660217,0.3770829737186432,0.5910796523094177,-0.7885828018188477,-0.26328521966934204,-1.850109577178955
1667255184800803600,24.126803466796876,0.6937301754951477,-0.14347608387470245,0.382794588804245,0.5929766893386841,-0.8113627433776855,-0.25775375962257385,-1.8382933139801025
1667255184805762300,24.13176220703125,0.6869015693664551,-0.15439584851264954,0.3878920376300812,0.594868004322052,-0.8330048322677612,-0.2520395815372467,-1.82612943649292
1667255184810720800,24.136720703125,0.6802260875701904,-0.16503778100013733,0.39226478338241577,0.5968109965324402,-0.8531591296195984,-0.2461686134338379,-1.8135802745819092
1667255184815679200,24.14167919921875,0.6737487316131592,-0.17533577978610992,0.3959386646747589,0.598792552947998,-0.8717936277389526,-0.24020910263061523,-1.800772786140442
1667255184820638000,24.146637939453125,0.6674500107765198,-0.18529613316059113,0.39899152517318726,0.6008174419403076,-0.8890513777732849,-0.23422615230083466,-1.7877389192581177
1667255184825596400,24.151596435546875,0.6613267660140991,-0.19489406049251556,0.4014669954776764,0.6028991937637329,-0.9049721360206604,-0.2282886803150177,-1.7745088338851929
1667255184830555000,24.156554931640624,0.6554170250892639,-0.20399250090122223,0.40329501032829285,0.6051187515258789,-0.9192313551902771,-0.2225140780210495,-1.7610405683517456
1667255184835513600,24.161513671875,0.649774968624115,-0.212380051612854,0.40432775020599365,0.6076234579086304,-0.9312489032745361,-0.21706002950668335,-1.7472047805786133
1667255184840472000,24.16647216796875,0.6444524526596069,-0.2198522984981537,0.4044332802295685,0.6105569005012512,-0.9404774904251099,-0.21207651495933533,-1.7328914403915405
1667255184845430500,24.171430419921876,0.6393765211105347,-0.22626720368862152,0.4038640260696411,0.6139174699783325,-0.947166383266449,-0.20803584158420563,-1.7183170318603516
1667255184850389200,24.17638916015625,0.6340579986572266,-0.23156842589378357,0.4040984809398651,0.6172932386398315,-0.9539376497268677,-0.20670777559280396,-1.7046880722045898
1667255184855347700,24.18134765625,0.62908935546875,-0.23543818295001984,0.4039393961429596,0.6210059523582458,-0.9581013321876526,-0.20694825053215027,-1.6914993524551392
1667255184860306400,24.186306396484376,0.6246948838233948,-0.23752999305725098,0.4033754765987396,0.6249992251396179,-0.9591360092163086,-0.20896871387958527,-1.6792751550674438
1667255184865265000,24.191264892578126,0.6207186579704285,-0.23781488835811615,0.40285733342170715,0.6291728019714355,-0.957775890827179,-0.21331557631492615,-1.6683294773101807
